0	0	"Otros"	0	"Otros"	0	"Otros"	"188"	"2025-02-10 17:12:47.519325"
1	1	"San José"	1	"San José"	1	"Carmen"	"188"	"2025-01-20 17:12:42.3119"
2	1	"San José"	1	"San José"	2	"Merced"	"188"	"2025-01-20 17:12:42.311995"
3	1	"San José"	1	"San José"	3	"Hospital"	"188"	"2025-01-20 17:12:42.312089"
4	1	"San José"	1	"San José"	4	"Catedral"	"188"	"2025-01-20 17:12:42.312223"
5	1	"San José"	1	"San José"	5	"Zapote"	"188"	"2025-01-20 17:12:42.31237"
6	1	"San José"	1	"San José"	6	"San Francisco De Dos Ríos"	"188"	"2025-01-20 17:12:42.312501"
7	1	"San José"	1	"San José"	7	"Uruca"	"188"	"2025-01-20 17:12:42.312631"
8	1	"San José"	1	"San José"	8	"Mata Redonda"	"188"	"2025-01-20 17:12:42.312788"
9	1	"San José"	1	"San José"	9	"Pavas"	"188"	"2025-01-20 17:12:42.312947"
10	1	"San José"	1	"San José"	10	"Hatillo"	"188"	"2025-01-20 17:12:42.313413"
11	1	"San José"	1	"San José"	11	"San Sebastián"	"188"	"2025-01-20 17:12:42.313537"
12	1	"San José"	2	"Escazú"	1	"Escazú"	"188"	"2025-01-20 17:12:42.31374"
13	1	"San José"	2	"Escazú"	2	"San Antonio"	"188"	"2025-01-20 17:12:42.313807"
14	1	"San José"	2	"Escazú"	3	"San Rafael"	"188"	"2025-01-20 17:12:42.314001"
15	1	"San José"	3	"Desamparados"	1	"Desamparados"	"188"	"2025-01-20 17:12:42.314219"
16	1	"San José"	3	"Desamparados"	2	"San Miguel"	"188"	"2025-01-20 17:12:42.314458"
17	1	"San José"	3	"Desamparados"	3	"San Juan De Dios"	"188"	"2025-01-20 17:12:42.314728"
18	1	"San José"	3	"Desamparados"	4	"San Rafael Arriba"	"188"	"2025-01-20 17:12:42.314806"
19	1	"San José"	3	"Desamparados"	5	"San Antonio"	"188"	"2025-01-20 17:12:42.314957"
20	1	"San José"	3	"Desamparados"	6	"Frailes"	"188"	"2025-01-20 17:12:42.315038"
21	1	"San José"	3	"Desamparados"	7	"Patarrá"	"188"	"2025-01-20 17:12:42.315074"
22	1	"San José"	3	"Desamparados"	8	"San Cristóbal"	"188"	"2025-01-20 17:12:42.315152"
23	1	"San José"	3	"Desamparados"	9	"Rosario"	"188"	"2025-01-20 17:12:42.315187"
24	1	"San José"	3	"Desamparados"	10	"Damas"	"188"	"2025-01-20 17:12:42.315265"
25	1	"San José"	3	"Desamparados"	11	"San Rafael Abajo"	"188"	"2025-01-20 17:12:42.315315"
26	1	"San José"	3	"Desamparados"	12	"Gravilias"	"188"	"2025-01-20 17:12:42.315428"
27	1	"San José"	3	"Desamparados"	13	"Los Guido"	"188"	"2025-01-20 17:12:42.315524"
28	1	"San José"	4	"Puriscal"	1	"Santiago"	"188"	"2025-01-20 17:12:42.315546"
29	1	"San José"	4	"Puriscal"	2	"Mercedes Sur"	"188"	"2025-01-20 17:12:42.31569"
30	1	"San José"	4	"Puriscal"	3	"Barbacoas"	"188"	"2025-01-20 17:12:42.315853"
31	1	"San José"	4	"Puriscal"	4	"Grifo Alto"	"188"	"2025-01-20 17:12:42.315902"
32	1	"San José"	4	"Puriscal"	5	"San Rafael"	"188"	"2025-01-20 17:12:42.315972"
33	1	"San José"	4	"Puriscal"	6	"Candelarita"	"188"	"2025-01-20 17:12:42.316008"
34	1	"San José"	4	"Puriscal"	7	"Desamparaditos"	"188"	"2025-01-20 17:12:42.316058"
35	1	"San José"	4	"Puriscal"	8	"San Antonio"	"188"	"2025-01-20 17:12:42.316087"
36	1	"San José"	4	"Puriscal"	9	"Chires"	"188"	"2025-01-20 17:12:42.316151"
37	1	"San José"	5	"Tarrazú"	1	"San Marcos"	"188"	"2025-01-20 17:12:42.316339"
38	1	"San José"	5	"Tarrazú"	2	"San Lorenzo"	"188"	"2025-01-20 17:12:42.316476"
39	1	"San José"	5	"Tarrazú"	3	"San Carlos"	"188"	"2025-01-20 17:12:42.316706"
40	1	"San José"	6	"Aserrí"	1	"Aserrí"	"188"	"2025-01-20 17:12:42.31677"
41	1	"San José"	6	"Aserrí"	2	"Tarbaca"	"188"	"2025-01-20 17:12:42.316898"
42	1	"San José"	6	"Aserrí"	3	"Vuelta De Jorco"	"188"	"2025-01-20 17:12:42.316925"
43	1	"San José"	6	"Aserrí"	4	"San Gabriel"	"188"	"2025-01-20 17:12:42.317014"
44	1	"San José"	6	"Aserrí"	5	"Legua"	"188"	"2025-01-20 17:12:42.317086"
45	1	"San José"	6	"Aserrí"	6	"Monterrey"	"188"	"2025-01-20 17:12:42.317137"
46	1	"San José"	6	"Aserrí"	7	"Salitrillos"	"188"	"2025-01-20 17:12:42.317159"
47	1	"San José"	7	"Mora"	1	"Colón"	"188"	"2025-01-20 17:12:42.317236"
48	1	"San José"	7	"Mora"	2	"Guayabo"	"188"	"2025-01-20 17:12:42.317378"
49	1	"San José"	7	"Mora"	3	"Tabarcia"	"188"	"2025-01-20 17:12:42.317414"
50	1	"San José"	7	"Mora"	4	"Piedras Negras"	"188"	"2025-01-20 17:12:42.317607"
51	1	"San José"	7	"Mora"	5	"Picagres"	"188"	"2025-01-20 17:12:42.317642"
52	1	"San José"	7	"Mora"	6	"Jaris"	"188"	"2025-01-20 17:12:42.317684"
53	1	"San José"	7	"Mora"	7	"Quitirrisí"	"188"	"2025-01-20 17:12:42.317697"
54	1	"San José"	8	"Goicoechea"	1	"Guadalupe"	"188"	"2025-01-20 17:12:42.317725"
55	1	"San José"	8	"Goicoechea"	2	"San Francisco"	"188"	"2025-01-20 17:12:42.317885"
56	1	"San José"	8	"Goicoechea"	3	"Calle Blancos"	"188"	"2025-01-20 17:12:42.317907"
57	1	"San José"	8	"Goicoechea"	4	"Mata De Plátano"	"188"	"2025-01-20 17:12:42.317987"
58	1	"San José"	8	"Goicoechea"	5	"Ipís"	"188"	"2025-01-20 17:12:42.318111"
59	1	"San José"	8	"Goicoechea"	6	"Rancho Redondo"	"188"	"2025-01-20 17:12:42.31821"
60	1	"San José"	8	"Goicoechea"	7	"Purral"	"188"	"2025-01-20 17:12:42.318259"
61	1	"San José"	9	"Santa Ana"	1	"Santa Ana"	"188"	"2025-01-20 17:12:42.31836"
